,lat,lng,city,city_FA
0,35.7,51.4167,Tehran,تهران
1,36.3069,59.6042,Mashhad,مشهد
2,32.6447,51.6675,Esfahan,اصفهان
3,35.8327,50.9915,Karaj,کرج
4,29.61,52.5425,Shiraz,شیراز
5,38.0833,46.2833,Tabriz,تبریز
6,34.64,50.8764,Qom,قم
7,31.3203,48.6692,Ahvaz,اهواز
8,34.3167,47.0686,Kermanshah,کرمانشاه
9,37.5486,45.0675,Orumiyeh,ارومیه
10,37.2833,49.6,Rasht,رشت
11,34.9069,48.4414,Bahar,بهار
12,29.4833,60.8667,Zahedan,زاهدان
13,34.8,48.5167,Hamadan,همدان
14,30.2833,57.0667,Kerman,کرمان
15,38.25,48.3,Ardabil,اردبیل
16,27.2,56.25,Bandar `Abbas,بندرعباس
17,34.08,49.7,Arak,اراک
18,35.5522,51.235,Eslamshahr,اسلامشهر
19,36.6667,48.4833,Zanjan,زنجان
20,33.9833,51.4333,Kashan,کاشان
21,31.8972,54.3678,Yazd,یزد
22,35.3097,46.9989,Sanandaj,سنندج
23,36.2688,50.0041,Qazvin,قزوین
24,33.4667,48.35,Khorramabad,خرم آباد
25,30.3307,48.2797,Madan,مدان
26,35.7214,51.1089,Shahr-e Qods,شهرقدس
27,36.83,54.48,Gorgan,گرگان
28,35.6597,51.0592,Shahriar,شهریار
29,35.6658,50.9767,Malard,ملارد
30,36.5504,53.1,Sarta,سارتا
31,32.3878,48.4033,Dezful,دزفول
32,36.55,52.6833,Babol,بابل
33,36.2167,57.6667,Sabzevar,سبزوار
34,36.4669,52.3569,Amol,آمل
35,35.4817,51.6803,Pakdasht,پاکدشت
36,32.6342,51.3667,Najafabad,نجف آباد
37,33.8972,48.7514,Borujerd,بروجرد
38,35.4394,51.5689,Qarchak,قرچک
39,35.2714,51.6511,Varamin,ورامین
40,36.22,58.82,Neyshabur,نیشابور
41,35.0211,50.3564,Saveh,ساوه
42,32.7,51.5211,Khomeyni Shahr,خمینی شهر
43,35.5644,51.1647,Nasim Shahr,نسیم شهر
44,36.4611,52.8606,Qa'em Shahr,قائم شهر
45,37.4667,57.3333,Bojnurd,بجنورد
46,28.9667,50.8333,Bandar-e Bushehr,بندر بوشهر
47,36.5211,46.2089,Bukan,بوکان
48,35.5833,53.3833,Semnan,سمنان
49,35.7225,50.9883,Fardis,فردیس
50,38.5503,44.9519,Khowy,خووی
51,32.8664,59.2211,Birjand,بیرجند
52,37.3919,46.2392,Maragheh,مراغه
53,29.47,55.73,Sirjan,سیرجان
54,32.8639,51.5475,Shahin Shahr,شاهین شهر
55,34.2942,48.82,Malayer,ملایر
56,36.765,45.721,Mahabad,مهاباد
57,36.25,46.2736,Saqqez,سقز
58,30.5589,49.1981,Bandar-e Mahshahr,بندر ماهشهر
59,30.4,56,Rafsanjan,رفسنجان
60,32.3256,50.8644,Shahr-e Kord,شهرکرد
61,33.7842,46.595,Golmeh,گلمه
62,37.25,55.1672,Gonbad-e Kavus,گنبدکاووس
63,36.4181,54.9764,Shahrud,شاهرود
64,29.8742,52.8025,Marvdasht,مرودشت
65,37.1118,58.5015,Quchan,قوچان
66,35.8622,50.8717,Kamalshahr,کمالشهر
67,28.5,53.56,Jahrom,جهرم
68,35.2739,59.2194,Torbat-e Heydariyeh,تربت حیدریه
69,36.6944,45.1417,Piranshahr,پیرانشهر
70,35.5269,46.1761,Marivan,مریوان
71,32.45,48.35,Andimeshk,اندیمشک
72,32.0089,51.8667,Shahreza,شهرضا
73,31.0308,61.4972,Zabol,زابل
74,30.4333,48.1833,Khorramshahr,خرمشهر
75,38.4167,45.7667,Marand,مرند
76,28.6781,57.7406,Jiroft,جیرفت
77,38.2,44.7667,Salmas,سلماس
78,29.1083,58.3583,Bam,بام
79,30.5958,50.2417,Behbahan,بهبهان
80,33.4933,49.075,Dorud,دورود
81,35.7631,50.9172,Mohammad Shahr,محمد شهر
82,35.9522,50.6075,Nazarabad,نظرآباد
83,37.4667,49.4667,Bandar-e Anzali,بندر انزلی
84,28.9381,53.6481,Fasa,فسا
85,29.2667,51.2158,Borazjan,برازجان
86,35.9975,45.8853,Baneh,بانه
87,30.6667,51.5833,Yasuj,یاسوج
88,25.2836,60.6236,Chabahar,چابهار
89,35.4847,51.0828,Robat Karim,رباط کریم
90,36.1283,50.1764,Khak-e `Ali,خاک علی
91,35.2383,58.4656,Kashmar,کاشمر
92,32.0436,48.8569,Shushtar,شوشتر
93,38.475,47.0603,Ahar,اهر
94,31.9333,49.3,Masjed Soleyman,مسجد سلیمان
95,35.2439,60.6225,Torbat-e Jam,تربت جام
96,35.7297,51.8619,Bumahen,بومهن
97,35.6031,51.3097,Chahar Dangeh,چهار دانگه
98,36.5633,53.0601,Sari,ساری
99,33.6374,46.4227,Ilam,ایلام
100,36.1467,49.2181,Abhar,ابهر
101,29.6167,51.65,Kazerun,کازرون
102,32.6536,51.755,Khowrasgan,خورسگان
103,37.3967,57.9294,Shirvan,شیروان
104,32.25,54.0167,Meybod,میبد
105,36.0694,49.6958,Takestan,تاکستان
106,32.4881,51.7731,Baharestan,بهارستان
107,33.4006,49.6947,Aligudarz,الیگودرز
108,37.3403,46.0561,Bonab,بناب
109,32.3094,54.0186,Ardakan,اردکان
110,36.95,45.3833,Naqadeh,نقده
111,37.0397,45.0983,Oshnaviyeh,اشنویه
112,29.5833,50.5167,Bandar-e Genaveh,بندر گناوه
113,35.7283,50.8133,Mahdasht,ماهدشت
114,30.8128,56.5639,Zarand,زرند
115,32.3464,51.5044,Mobarakeh,مبارکه
116,37.0764,57.51,Esfarayen,اسفراین
117,36.1681,54.3481,Damghan,دامغان
118,34.74,60.7756,Taybad,تایباد
119,32.3894,51.3764,Zarrin Shahr,زرین شهر
120,35.9619,50.68,Hashtgerd,هشتگرد
121,34.0578,51.4842,Aran Bidgol,آران بیدگل
122,37.7992,48.9053,Hashtpar,هشتپر
123,35.8741,47.5937,Bijar,بیجار
124,36.1553,45.4789,Sardasht,سردشت
125,31.2783,49.6064,Ramhormoz,رامهرمز
126,35.2167,52.3333,Garmsar,گرمسار
127,35.7178,52.065,Damavand,دماوند
128,33.4536,50.2883,Golpayegan,گلپایگان
129,33.4539,49.455,Azna,ازنا
130,31.6053,55.4028,Bafq,بافق
131,32.6153,51.5556,Darcheh,درچه
132,36.4008,47.1131,Takab,تکاب
133,37.9408,47.5367,Sarab,سراب
134,34.3528,58.6836,Gonabad,گناباد
135,32.5553,51.5097,Falavarjan,فلاورجان
136,37.6189,48.5258,Khalkhal,خلخال
137,35.5175,51.3597,Kahrizak,کهریزک
138,36.9169,50.6736,Ramsar,رامسر
139,34.4614,45.8647,Sarpol-e Zahab,سرپل ذهاب
140,29.2331,56.6022,Baft,بافت
141,27.665,54.1369,Gerash,گراش
142,36.6792,46.5667,Shahin Dezh,شاهین دژ
143,31.5839,54.4281,Nazerabad,ناظرآباد
144,34.5764,60.1408,Khvaf,خواف
145,35.7256,50.3661,Eshtehard,اشتهارد
146,32.5767,51.455,Qahderijan,قهدریجان
147,27.76,54.0072,Evaz,اواز
148,35.7333,51.9058,Rudehen,رودهن
149,35.2631,57.9722,Bardaskan,بردسکن
150,38.8478,45.6622,Hadishahr,هادیشهر
151,37.2239,49.3125,Fuman,فومن
152,31.1289,53.2822,Abarkuh,ابرکوه
153,38.8914,45.0256,Qarah Zia' od Din,قره ضیاء الدین
154,31.4142,51.5694,Semirom,سمیرم
155,35.7108,53.3539,Mahdishahr,مهدیشهر
156,32.5542,51.525,Kelishad va Sudarjan,کلیشاد و سودرجان
157,31.4086,48.7942,Sheyban,شیبان
158,32.6267,51.4392,Goldasht,گلدشت
159,30.4783,54.2117,Marvast,مروست
160,33.2206,50.315,Khvansar,خوانسار
161,32.8022,51.6208,Gaz,گز
162,32.7781,51.6458,Khowrzuq,خورزوق
163,32.555,51.5731,Abrisham,ابریشم
164,36.2886,49.9019,Mahmudabad Nemuneh,محمودآباد نمونه
165,35.2083,48.7239,Kabudarahang,کبودرآهنگ
166,26.5989,54.9361,Bandar-e Kong,بندر کنگ
167,32,54.2044,Ashkezar,اشکذر
168,31.9414,54.2828,Abrandabad-e Shahediyeh,ابرندآباد شاهدیه
169,29.5,53.3164,Kherameh,خرامه
170,31.7475,54.2042,Taft,تفت
171,35.8231,51.6242,Lavasan,لواسان
172,35.0189,58.7833,Feyzabad,فیض آباد
173,32.3833,51.5147,Dizicheh,دیزیچه
174,29.9122,53.3083,Arsanjan,ارسنجان
175,32.3778,51.3181,Sedeh Lanjan,سده لنجان
176,31.94,51.6478,Dehaqan,دهاقان
177,32.3933,51.3408,Chamgardan,چمگردان
178,33.1044,50.9589,Dehaq,دهاق
179,32.7025,51.1536,Tiran,تیران
180,33.0528,51.0825,`Alavicheh,علویچه
181,32.8019,51.6636,Dastgerd,دستگرد
182,36.6361,57.0728,Joghtay,جغتای
183,37.0975,50.1864,Amlash,املش
184,33.3797,52.3725,Ardestan,اردستان
185,30.2606,51.9842,Sepidan,سپیدان
186,33.5111,51.9181,Natanz,نطنز
187,35.1139,48.9717,Famenin,فامنین
188,37.4,49.6667,Khomam,خمام
189,32.9411,50.1211,Fereydunshahr,فریدونشهر
190,32.6425,51.4997,Kushk,کوشک
191,30.0542,54.3731,Shahr-e Herat,شهر هرات
192,32.4194,52.6481,Varzaneh,ورزنه
193,32.3375,51.1958,Charmahin,چارمهین
194,35.3433,52.0675,Eyvanekey,ایوانکی
195,34.3986,60.2581,Sangan,سنگان
196,37.5511,49.1394,Rezvanshahr,رضوانشهر
197,28.8825,51.2744,Ahram,اهرم
198,31.9911,54.2319,Zarach,زاراک
199,34.5164,58.1844,Bajestan,بجستان
200,32.4686,51.5578,Pir Bakran,پیر بکران
201,39.3481,45.0711,Poldasht,پلدشت
202,34.5156,45.5792,Qasr-e Shirin,قصرشیرین
203,35.7728,53.3286,Shahmirzad,شهمیرزاد
204,36.2994,49.0744,Sa'in Qal`eh,صائن قلعه
205,29.5978,57.4386,Rayen,راین
206,27.6594,52.6575,Galleh Dar,گاله در
207,27.1992,54.3667,Bastak,بستک
208,33.0736,50.1647,Miandasht,میاندشت
209,35.4633,53.2139,Sorkheh,سرخه
210,34.4344,60.1775,Nashtifan,نشتیفان
211,34.8847,48.5544,Juraqan,جورقان
212,28.0839,54.0483,Banaruyeh,بنارویه
213,38.8667,47.0333,Kaleybar,کلیبر
214,31.8728,56.0236,Bahabad,بهاباد
215,27.8708,52.0272,Banak,بانک
216,37.2294,50.2539,Pa'in Chaf,درد چاف
217,33.4489,52.4936,Zavareh,زواره
218,34.5089,48.6867,Azandarian,ازندریان
219,32.6025,51.4969,Zazeran,زازران
220,34.5856,50.9072,Jamkaran,جمکران
221,32.6267,51.4808,Kahriz Sang,کهریز سنگ
222,36.9736,50.57,Chaboksar,چابکسر
223,38.1756,44.6919,Tazeh Shahr,تازه شهر
224,36.6639,52.7631,Bahnemir,بهنمیر
225,31.0228,53.3564,Mehrdasht,مهردشت
226,38.58,44.8358,Firuraq,فیرورق
227,34.3928,49.1839,Khondab,خنداب
228,36.9953,59.7608,Kabud Gonbad,کبود گنبد
229,34.7439,59.9756,Salameh,سلامه
230,37.3747,49.7575,Khoshk Bijar,خشک بیجار
231,34.975,59.6247,Roshtkhvar,رشتخوار
232,34.7192,49.3267,Komijan,کمیجان
233,32.7683,50.6286,Chadegan,چادگان
234,32.2767,53.9942,Bafru'iyeh,بافرویه
235,29.4731,50.9933,Shabankareh,شبانکاره
236,32.3786,50.7867,Chaleshtar,چالشتر
237,38.5733,44.925,Badalabad,بدل آباد
238,33.4756,50.3525,Guged,گند زد
239,39.3914,44.3875,Bazargan,بازرگان
240,27.4306,53.5144,Beyram,بیرام
241,32.5567,51.3725,Jowzdan,جوزدان
242,31.1942,52.4839,Bahman,بهمن
243,35.2119,58.1517,Kondor,کندور
244,35.2497,52.4933,Aradan,آرادان
245,33.775,55.0831,Khur,خور
246,35.6536,53.3378,Darjazin,درجزین
247,36.48,54.6458,Mojen,موجن
248,29.2464,52.7792,Akbarabad,اکبرآباد
249,32.2794,52.0631,Nasrabad,نصرآباد
250,33.4461,51.1681,Meymeh,میمه
251,35.4753,58.4572,Rivash,ریواش
252,31.9458,51.8719,Manzariyeh,منظریه
253,35.9908,49.6247,Narjeh,نرجه
254,36.6711,55.2975,Kalateh-ye Khij,کلاته خیج
255,38.1803,48.8933,Chubar,چوبر
256,34.3472,58.7572,Bidokht,بیدخت
257,35.9386,50.7217,Yengi Emam,ینگی امام
258,31.1989,51.7247,Hanna,هانا
259,29.4856,50.6281,Bandar-e Rig,بندر ریگ
260,33.9042,51.7686,Abuzeydabad,ابوزیدآباد
261,34.3917,58.7006,Biland,بیلند
